ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),ABP Association,Burinated,Redesignated? (Y/N/U),Tephra Association,File Type (2D/3D),Scale (Y/N),Out,Ldk,Holo,FN,Additional Information
32,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.13,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
33,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Altinovo Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.14,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
34,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Altinovo Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.15,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
35,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Altinovo Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.16,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
36,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Altinovo Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.17,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
37,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Altinovo Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.18,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
38,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Altinovo Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.19,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
39,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Altinovo Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.20,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
40,Borovka,Borovka,Belarus,30.26,53.51,Whole,Tanged Point Technocomplex,Grensk,Altinovo Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Bor.21,Kopytin classifies Borovka as Grensk site and dates to Final Palaeolithic-Early Mesolithic
41,Brammerau,Brammerau,Germany,9.79,54.17,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Bram.1,
