ID,Site,Context,Country,Longitude,Latitude,Condition,ATU,ATU2,NAT,Reference(s),Site Type,Dating Method,Event (Rasmussen et al. 2014),Method,AGE,STD (±),ID,AGE,STD (±),ID,Chronozone (Relative),Relative Date (method),ABP Association,Burinated,Redesignated? (Y/N/U),Tephra Association,File Type (2D/3D),Scale (Y/N),Out,Ldk,Holo,FN,Additional Information
184,Jørlunde Sø,Jørlunde Sø,Denmark,12.18,55.82,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Jorlunde_So_1_5,
185,Jørlunde Sø,Jørlunde Sø,Denmark,12.18,55.82,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Jorlunde_So_1_6,
186,Jørlunde Sø,Jørlunde Sø,Denmark,12.18,55.82,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Jorlunde_So_1_7,
187,Jørlunde Sø,Jørlunde Sø,Denmark,12.18,55.82,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Jorlunde_So_2_2,
188,Jørlunde Sø,Jørlunde Sø,Denmark,12.18,55.82,Whole,Ahrensburgian,Unspecified,Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Jorlunde_So_2_8,
189,Karsznice,Karsznice (4),Poland,19.02,51.58,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Kasinski 1939; Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,U,N,2D,Y,X,,,Karsznice_4_6,
190,Kašėtos,Kašėtos,Lithuania,24.35,54.11,Whole,Tanged Point Technocomplex,Bromme (Eastern Europe),Kaszety Point,"Šatavičius 2001, 2004",Surface Collection,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kas.1,
191,Kašėtos,Kašėtos,Lithuania,24.35,54.11,Whole,Tanged Point Technocomplex,Bromme (Eastern Europe),Kaszety Point,"Šatavičius 2001, 2004",Surface Collection,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kas.3,
192,Katarzynów,Katarzynów (Site 1),Poland,19.85,51.74,Whole,Unspecified,Witow-Tarnowa,Tanged Point (Unspecified),"Chmielewska 1957, 1978",Excavation,Relative,,,,,,,,,Late Palaeolithic,Typology,Y,N,N,N,2D,Y,X,,,Katarzynow_1_10,
193,Katra,Katra (1),Lithuania,24.6,54,Whole,Tanged Point Technocomplex,Bromme (Eastern Europe),Bromme Point,"Šatavičius 2001, 2004",Excavation,Relative,,,,,,,,,Allerod- Early Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kat1.1,
194,Khovina,Khovina,Belarus,30.46,53.96,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Kho.1,
195,Khovina,Khovina,Belarus,30.46,53.96,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Kho.2,Ahrensburgian/Krasnosillya Point
196,Khovina,Khovina,Belarus,30.46,53.96,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Kho.3,Ahrensburgian/Krasnosillya Point
197,Khovina,Khovina,Belarus,30.46,53.96,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,Y,N,N,2D,Y,X,,,Kho.4,Ahrensburgian/Krasnosillya Point
198,Khovina,Khovina,Belarus,30.46,53.96,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Kho.5,Ahrensburgian/Krasnosillya Point
199,Khovina,Khovina,Belarus,30.46,53.96,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Kho.6,Ahrensburgian/Krasnosillya Point
200,Khovina,Khovina,Belarus,30.46,53.96,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Kho.7,Ahrensburgian/Krasnosillya Point
201,Khovina,Khovina,Belarus,30.46,53.96,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Kho.8,Ahrensburgian/Krasnosillya Point
202,Khovina,Khovina,Belarus,30.46,53.96,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Kho.9,Ahrensburgian/Krasnosillya Point
203,Khovina,Khovina,Belarus,30.46,53.96,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Kho.10,Transition from Lyngby to Ahrensburgian
204,Khovina,Khovina,Belarus,30.46,53.96,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Kho.11,Transition from Lyngby to Ahrensburgian
205,Khovina,Khovina,Belarus,30.46,53.96,Whole,Tanged Point Technocomplex,Grensk,Grensk Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Kho.12,
206,Khovina,Khovina,Belarus,30.46,53.96,Whole,Tanged Point Technocomplex,Grensk,Altinovo Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Kho.13,
207,Khovina,Khovina,Belarus,30.46,53.96,Whole,Tanged Point Technocomplex,Grensk,Altinovo Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Stratigraphy/Typology,N,N,N,N,2D,Y,X,,,Kho.14,
208,Klein Niendorf,Klein Niendorf (A),Germany,10.3,53.95,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kle.Nie.A.1,
209,Knudsby,Knudsby,Denmark,11.82,55.04,Whole,Unspecified,Unspecified,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Knu.1,
210,Knudskovgård,Knudskovgård (I),Denmark,11.74,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Knudskovgard_1_1,
211,Knudskovgård,Knudskovgård (II),Denmark,11.74,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Knudskovgard_2_1,
212,Knudskovgård,Knudskovgård (II),Denmark,11.74,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Knudskovgard_2_6,
213,Knudsskov,Knudsskov,Denmark,11.74,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Knudskov_1_1,
214,Knudsskov,Knudsskov,Denmark,11.74,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Knudskov_1_2,
215,Knudsskov,Knudsskov,Denmark,11.74,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Knudskov_1_3,
216,Knudsskov,Knudsskov,Denmark,11.74,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Knudskov_1_4,
217,Knudsskov,Knudsskov,Denmark,11.74,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Knudskov_1_5,
218,Knudsskov,Knudsskov,Denmark,11.74,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Knudskov_2_1,
219,Knudsskov,Knudsskov,Denmark,11.74,55.06,Whole,Bromme,Bromme (Western Europe),Tanged Point (Unspecified),Fugl Petersen 2011,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Knudskov_2_2,
220,Koło,Koło,Poland,18.67,52.14,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,N,N,2D,Y,X,,,Kolo_11,
221,Koło,Koło,Poland,18.67,52.14,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,N,N,2D,Y,X,,,Kolo_12,
222,Koło,Koło,Poland,18.67,52.14,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Chmielewska 1978,Surface Collection,Relative,,,,,,,,,Late Palaeolithic,Typology,N,N,N,N,2D,Y,X,,,Kolo_13,
223,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.1,Some authors dates to Early Mesolithic
224,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.2,Some authors dates to Early Mesolithic
225,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.3,Some authors dates to Early Mesolithic
226,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.8,Some authors dates to Early Mesolithic
227,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.9,Some authors dates to Early Mesolithic
228,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.10,Some authors dates to Early Mesolithic
229,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.11,Some authors dates to Early Mesolithic
230,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.12,Some authors dates to Early Mesolithic
231,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.14,Some authors dates to Early Mesolithic
232,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.15,Some authors dates to Early Mesolithic
233,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.18,Some authors dates to Early Mesolithic
234,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.19,Some authors dates to Early Mesolithic
235,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Swiderian Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.20,Some authors dates to Early Mesolithic
236,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Swiderian Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.21,Some authors dates to Early Mesolithic
237,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Swiderian Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,Y,N,N,2D,Y,X,,,Kor.22,Some authors dates to Early Mesolithic
238,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.23,Some authors dates to Early Mesolithic
239,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,Y,N,N,2D,Y,X,,,Kor.24,Some authors dates to Early Mesolithic
240,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,Y,N,N,2D,Y,X,,,Kor.25,Some authors dates to Early Mesolithic
241,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Lyngby Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,Y,N,N,2D,Y,X,,,Kor.26,Some authors dates to Early Mesolithic
242,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Grensk Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.27,Some authors dates to Early Mesolithic
243,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Grensk Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.28,Some authors dates to Early Mesolithic
244,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Grensk Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.29,Some authors dates to Early Mesolithic
245,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Altinovo Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.30,Some authors dates to Early Mesolithic
246,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Altinovo Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.31,Some authors dates to Early Mesolithic
247,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.32,Some authors dates to Early Mesolithic
248,Koromka,Koromka,Belarus,30.07,53.1,Whole,Tanged Point Technocomplex,Grensk,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kor.33,Some authors dates to Early Mesolithic
249,Kraków-Bieżanów,Kraków-Bieżanów (15),Poland,20.03,50.02,Whole,Tanged Point Technocomplex,Unspecified,Kaszety Point,Valde-Nowak et al 2015,Excavation,Relative,,,,,,,,,Younger Dryas ,Typology,Y,N,N,N,2D,Y,X,,,Kra.Bie.15.1,
250,Kraków-Bieżanów,Kraków-Bieżanów (20),Poland,20.03,50.02,Whole,Tanged Point Technocomplex,Unspecified,Kaszety Point,Valde-Nowak et al 2015,Excavation,Relative,,,,,,,,,Younger Dryas ,Typology,Y,N,N,N,2D,Y,X,,,Kra.Bie.20.1,
251,Kraków-Bieżanów,Kraków-Bieżanów (8 and 14),Poland,20.03,50.02,Whole,Tanged Point Technocomplex,Unspecified,Kaszety Point,Valde-Nowak et al 2015,Excavation,Relative,,,,,,,,,Younger Dryas ,Typology,Y,N,N,N,2D,Y,X,,,Kra.Bie.8.14.1,
252,Kraków-Bieżanów,Kraków-Bieżanów (15),Poland,20.03,50.02,Whole,Tanged Point Technocomplex,Unspecified,Kaszety Point,Valde-Nowak et al 2015,Excavation,Relative,,,,,,,,,Younger Dryas ,Typology,Y,N,N,N,2D,Y,X,,,Kra.Bie.15.2,
253,Kraków-Borek Fałęcki,Kraków-Borek Fałęcki,Poland,19.94,50.01,Whole,Tanged Point Technocomplex,Unspecified,Kaszety Point,Valde-Nowak et al 2015,Surface Collection,Relative,,,,,,,,,Younger Dryas ,Typology,Y,N,N,N,2D,Y,X,,,Kra.Bo.Fa.1,
254,Krasnosillya,Krasnosillya (E),Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kra.E.1,
255,Krasnosillya,Krasnosillya (E),Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kra.E.2,
256,Krasnosillya,Krasnosillya (E),Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kra.E.3,
257,Krasnosillya,Krasnosillya (E),Ukraine,26.69,50.64,Whole,Tanged Point Technocomplex,Krasnosillya,Tanged Point (Unspecified),Zaliznyak 1999,Excavation,Relative,,,,,,,,,Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kra.E.5,
258,Krasnosilsk,Krasnosilsk (5),Belarus,24.44,53.27,Whole,Tanged Point Technocomplex,Lyngby,Lyngby Point,Zaliznyak 2006,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kra.5.1,Antler of Cervus Elaphus found 
259,Krasnosilsk,Krasnosilsk (5),Belarus,24.44,53.27,Whole,Tanged Point Technocomplex,Lyngby,Lyngby Point,Zaliznyak 2006,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kra.5.2,Antler of Cervus Elaphus found 
260,Krasnosilsk,Krasnosilsk (5),Belarus,24.44,53.27,Whole,Tanged Point Technocomplex,Lyngby,Lyngby Point,Zaliznyak 2006,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kra.5.3,Antler of Cervus Elaphus found 
261,Krasnosilsk,Krasnosilsk (5),Belarus,24.44,53.27,Whole,Tanged Point Technocomplex,Lyngby,Lyngby Point,Zaliznyak 2006,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kra.5.4,Antler of Cervus Elaphus found 
262,Krasnosilsk,Krasnosilsk (5),Belarus,24.44,53.27,Whole,Tanged Point Technocomplex,Lyngby,Lyngby Point,Zaliznyak 2006,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kra.5.5,Antler of Cervus Elaphus found 
263,Krasnosilsk,Krasnosilsk (6),Belarus,24.44,53.27,Whole,Tanged Point Technocomplex,Grensk,Ahrensburgian Point,Zaliznyak 1999,Excavation,Relative,,,,,,,,,Allerod-Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kra.6.1,
264,Kröppelshagen-Fahrendorf,Kröppelshagen-Fahrendorf,Germany,10.33,53.48,Whole,Lyngby,Segebro-Bromme,Lyngby Point,Taute 1968,Surface Collection,Relative,,,,,,,,,Allerod-First half of Younger Dryas,Typology,N,N,N,N,2D,Y,X,,,Kro.Fah.1,Schwabedissen 1954
265,Krzemienne,Krzemienne (3),Poland,23.4,53.2,Whole,Tanged Point Technocomplex,Wolkushian,Tanged Point (Unspecified),Szymczak 1995,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,N,X,,,Krze3.1,
266,Kühsen,Kühsen (3-4),Germany,10.61,53.68,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Trölsch 1976,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,Y,Y,N,2D,Y,X,,,Kuh.3-4.1,
267,Kühsen,Kühsen (3-4),Germany,10.61,53.68,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Trölsch 1976,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Kuh.3-4.2,
268,Kühsen,Kühsen (3-4),Germany,10.61,53.68,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Trölsch 1976,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Kuh.3-4.3,
269,Kühsen,Kühsen (3-4),Germany,10.61,53.68,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Trölsch 1976,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Kuh.3-4.4,
270,L'Abri du Roc D'Abeilles,L'Abri du Roc D'Abeilles,France,1.27,44.84,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Champagne et al. 1970,Excavation,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Labr.1,
271,La Grotte de Rochereil,La Grotte de Rochereil (2),France,0.54,45.3,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Jude 1960,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Gro.Ro.II.1,
272,La Grotte de Rochereil,La Grotte de Rochereil (2),France,0.54,45.3,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Jude 1960,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Gro.Ro.II.2,
273,La Grotte de Rochereil,La Grotte de Rochereil (2),France,0.54,45.3,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Jude 1960,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Gro.Ro.II.3,
274,La Grotte de Rochereil,La Grotte de Rochereil (2),France,0.54,45.3,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Jude 1960,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,Y,N,N,2D,Y,X,,,Gro.Ro.II.4,
275,La Grotte de Rochereil,La Grotte de Rochereil (2),France,0.54,45.3,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Jude 1960,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Gro.Ro.II.5,
276,La Grotte de Rochereil,La Grotte de Rochereil (2),France,0.54,45.3,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Jude 1960,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Gro.Ro.II.6,
277,La Grotte de Rochereil,La Grotte de Rochereil (2),France,0.54,45.3,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Jude 1960,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,Y,N,N,2D,Y,X,,,Gro.Ro.III.1,
278,La Grotte de Rochereil,La Grotte de Rochereil (2),France,0.54,45.3,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Jude 1960,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Gro.Ro.III.2,
279,La Grotte de Rochereil,La Grotte de Rochereil (2),France,0.54,45.3,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Jude 1960,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Gro.Ro.III.3,
280,La Grotte de Rochereil,La Grotte de Rochereil (2),France,0.54,45.3,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Jude 1960,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Gro.Ro.III.4,
281,La Grotte de Rochereil,La Grotte de Rochereil (2),France,0.54,45.3,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Jude 1960,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Gro.Ro.III.5,
282,La Grotte de Rochereil,La Grotte de Rochereil (2),France,0.54,45.3,Whole,Unspecified,Unspecified,Tanged Point (Unspecified),Jude 1960,Surface Collection,Relative,,,,,,,,,Allerod,Typology,N,N,N,N,2D,Y,X,,,Gro.Ro.III.6,
